node_id,reviewer_id,first_cycle,second_cycle,category
0,0,other,type,products
1,0,compliment,other,other
2,0,perfect,emotion,customer experience
3,0,length,experience,customer experience
4,0,pocket,properties,products
5,0,fit,experience,customer experience
6,0,sandal,other,other
7,0,look,other,other
8,0,more,other,other
9,0,side,experience,customer experience
10,0,size,properties,products
11,0,casual,other,other
12,0,fabric,properties,products
13,0,style,experience,customer experience
14,1,other,other,other
15,1,material,properties,products
16,1,first,application,customer experience
17,1,wash,application,customer experience
18,1,look,other,other
19,1,great,emotion,customer experience
20,1,color,properties,products
21,2,wash,application,customer experience
22,2,other,other,other
23,2,thread,other,other
24,2,thing,other,other
25,3,other,service,other
26,3,good,emotion,customer experience
27,3,nice,emotion,customer experience
28,3,fit,experience,customer experience
29,3,look,other,other
30,3,color,properties,products
31,3,purchase,other,other
32,3,fabric,properties,products
33,4,other,other,other
34,4,cute,emotion,customer experience
35,4,material,properties,products
36,4,spot,experience,customer experience
37,4,dress,type,products
38,5,time,application,customer experience
39,5,time,service,other
40,5,other,other,other
41,5,zipper,properties,products
42,5,arm,experience,customer experience
43,5,pant,type,products
44,5,nice,emotion,customer experience
45,5,pair,other,other
46,5,horrible,other,other
47,5,size,properties,products
48,6,other,other,other
49,6,petite,other,other
50,6,layer,other,other
51,6,vest,type,products
52,6,piece,application,customer experience
53,6,review,other,other
54,7,other,experience,customer experience
55,7,fit,experience,customer experience
56,7,shirt,type,products
57,7,wash,application,customer experience
58,7,several,other,other
59,8,other,type,products
60,8,good,emotion,customer experience
61,8,material,properties,products
62,8,first,application,customer experience
63,8,nice,emotion,customer experience
64,8,sweater,type,products
65,8,color,properties,products
66,8,quality,properties,products
67,9,other,type,products
68,9,right,experience,customer experience
69,9,size,properties,products
70,10,other,other,other
71,10,cute,emotion,customer experience
72,10,thing,other,other
73,10,fit,experience,customer experience
74,10,sweater,type,products
75,10,horrible,other,other
76,10,size,properties,products
77,10,purchase,other,other
78,11,dress,type,products
79,11,nice,emotion,customer experience
80,11,other,other,other
81,11,slip,experience,customer experience
82,12,other,emotion,customer experience
83,12,top,emotion,customer experience
84,12,place,other,other
85,13,time,application,customer experience
86,13,time,service,other
87,13,other,other,other
88,14,other,other,other
89,14,wear,experience,customer experience
90,14,way,other,other
91,14,poor,emotion,customer experience
92,14,quality,properties,products
93,15,other,other,other
94,15,sandal,other,other
95,16,comfortable,other,other
96,16,sweater,type,products
97,17,other,other,other
98,17,length,experience,customer experience
99,17,order,other,other
100,17,top,emotion,customer experience
101,17,review,other,other
102,17,style,experience,customer experience
103,17,beautiful,emotion,customer experience
104,18,other,other,other
105,18,black,other,other
106,18,shirt,type,products
107,19,other,other,other
108,19,material,properties,products
109,19,pair,other,other
110,19,short,other,other
111,20,other,other,other
112,20,right,experience,customer experience
113,20,arm,experience,customer experience
114,20,fit,experience,customer experience
115,21,other,service,other
116,21,good,emotion,customer experience
117,21,way,other,other
118,21,day,other,other
119,21,wash,application,customer experience
120,21,look,other,other
121,21,color,properties,products
122,21,dress,type,products
123,21,quality,properties,products
124,21,fabric,properties,products
125,22,other,other,other
126,23,time,application,customer experience
127,23,time,service,other
128,23,stain,other,other
129,23,other,other,other
130,23,short,other,other
131,23,first,application,customer experience
132,23,pair,other,other
133,23,wash,application,customer experience
134,23,color,properties,products
135,24,dress,type,products
136,24,review,other,other
137,24,size,properties,products
138,25,dress,type,products
139,25,other,type,products
140,25,size,properties,products
141,26,purchase,other,other
142,27,other,other,other
143,27,wear,experience,customer experience
144,27,fabric,properties,products
145,27,fit,experience,customer experience
146,28,other,other,other
147,28,quality,properties,products
148,29,quality,properties,products
149,29,nice,emotion,customer experience
150,29,good,emotion,customer experience
151,30,other,other,other
152,30,wear,experience,customer experience
153,30,pant,type,products
154,30,pocket,properties,products
155,30,wash,application,customer experience
156,30,several,other,other
157,31,poor,emotion,customer experience
158,31,material,properties,products
159,32,other,type,products
160,32,sadly,other,other
161,32,great,emotion,customer experience
162,32,price,service,other
163,32,side,experience,customer experience
164,32,dress,type,products
165,32,quality,properties,products
166,32,fabric,properties,products
167,32,style,experience,customer experience
168,33,other,other,other
169,33,cute,emotion,customer experience
170,33,nice,emotion,customer experience
171,33,vest,type,products
172,33,color,properties,products
173,33,piece,application,customer experience
174,34,time,application,customer experience
175,34,time,service,other
176,34,other,other,other
177,34,material,properties,products
178,34,wash,application,customer experience
179,34,color,properties,products
180,34,few,emotion,customer experience
181,35,great,emotion,customer experience
182,35,dress,type,products
183,35,fabric,properties,products
184,35,style,experience,customer experience
185,35,summer,application,customer experience
186,36,other,type,products
187,36,few,emotion,customer experience
188,37,other,other,other
189,37,fit,experience,customer experience
190,38,other,other,other
191,38,arm,experience,customer experience
192,38,material,properties,products
193,38,nice,emotion,customer experience
194,38,shirt,type,products
195,38,color,properties,products
196,39,other,experience,customer experience
197,39,good,emotion,customer experience
198,39,show,other,other
199,39,size,properties,products
