reviewer_id,sub_aspect,first_cycle,second_cycle
93,"['one', 'attempt', 'sign', 'employee', 'attention']",employee,service
94,"['someone', 'food', 'place', 'kiosk', 'number']",place,place
94,"['someone', 'food', 'place', 'kiosk', 'number']",other,other
94,"['someone', 'food', 'place', 'kiosk', 'number']",food,food
95,"['raw burger', 'counter', 'lady']",other,other
95,"['raw burger', 'counter', 'lady']",lady,service
95,"['raw burger', 'counter', 'lady']",burger,food
96,"['corporate need', 'basic manor', 'staff', 'work ethic', 'time management']",time,service
96,"['corporate need', 'basic manor', 'staff', 'work ethic', 'time management']",staff,service
96,"['corporate need', 'basic manor', 'staff', 'work ethic', 'time management']",other,other
96,"['corporate need', 'basic manor', 'staff', 'work ethic', 'time management']",work,service
96,"['corporate need', 'basic manor', 'staff', 'work ethic', 'time management']",management,service
97,"['order food', 'microphone', 'employee', 'mess']",other,other
97,"['order food', 'microphone', 'employee', 'mess']",employee,service
97,"['order food', 'microphone', 'employee', 'mess']",order,food
97,"['order food', 'microphone', 'employee', 'mess']",food,food
97,"['order food', 'microphone', 'employee', 'mess']",mess,situation
98,"['location', 'place', 'rude service', 'order wrong']",rude,emotion
98,"['location', 'place', 'rude service', 'order wrong']",service,service
98,"['location', 'place', 'rude service', 'order wrong']",wrong,situation
98,"['location', 'place', 'rude service', 'order wrong']",location,place
98,"['location', 'place', 'rude service', 'order wrong']",location,service
98,"['location', 'place', 'rude service', 'order wrong']",place,place
98,"['location', 'place', 'rude service', 'order wrong']",order,food
99,"['allways', 'best fry', 'ice cream']",other,other
99,"['allways', 'best fry', 'ice cream']",fry,food
99,"['allways', 'best fry', 'ice cream']",best,emotion
99,"['allways', 'best fry', 'ice cream']",cream,food
99,"['allways', 'best fry', 'ice cream']",cream,drink
99,"['allways', 'best fry', 'ice cream']",ice,other
100,"['mcdonalds', 'order', 'people', 'english']",mcdonalds,place
100,"['mcdonalds', 'order', 'people', 'english']",order,food
100,"['mcdonalds', 'order', 'people', 'english']",other,other
100,"['mcdonalds', 'order', 'people', 'english']",people,situation
