node_id,NodeName
0,other
0,drink
1,normal
1,situation
2,mcdonalds
2,place
3,food
3,food
4,other
4,place
5,staff
5,service
6,other
6,service
7,situation
7,line
8,food
8,order
9,service
9,service
10,food
10,sandwich
11,customer
11,service
12,other
12,other
13,chicken
13,food
14,large
14,situation
15,food
15,order
16,other
16,place
17,food
17,meal
18,fry
18,food
19,other
19,new
20,job
20,other
21,line
21,situation
22,long
22,situation
23,other
23,other
24,food
24,order
25,service
25,regular
26,regular
26,situation
27,service
27,service
28,location
28,service
29,place
29,location
30,service
30,customer
31,other
31,place
32,large
32,situation
33,cup
33,drink
34,drink
34,other
35,coffee
35,drink
36,food
36,order
37,time
37,service
38,lady
38,service
39,nugget
39,food
40,other
40,place
41,place
41,restaurant
42,other
42,extra
43,service
43,service
44,people
44,situation
45,service
45,other
46,food
46,other
47,emotion
47,best
48,mcdonalds
48,place
49,place
49,mcdonald
50,other
50,other
51,order
51,food
52,item
52,food
53,item
53,drink
54,lady
54,service
55,other
55,other
56,food
56,food
57,situation
57,wait
58,situation
58,night
59,situation
59,line
60,situation
60,long
61,place
61,car
62,hour
62,situation
63,staff
63,service
64,service
64,crew
65,other
65,situation
66,experience
66,service
67,food
67,other
68,other
68,place
69,drink
69,other
70,place
70,restaurant
71,food
71,order
72,regular
72,service
73,regular
73,situation
74,situation
74,wrong
75,food
75,order
76,drink
76,drink
77,lid
77,other
78,service
78,service
79,food
79,burger
80,drink
80,cup
81,service
81,other
82,other
82,place
83,food
83,food
84,food
84,sandwich
85,other
85,other
86,situation
86,minute
87,food
87,food
88,place
88,restaurant
89,food
89,chicken
90,service
90,staff
91,other
91,other
92,food
92,cream
93,drink
93,cream
94,other
94,other
95,drink
95,drink
96,other
96,bag
97,other
97,taste
98,other
98,drink
99,situation
99,other
100,ice
100,drink
101,staff
101,service
102,other
102,other
103,order
103,food
104,order
104,food
105,item
105,food
106,item
106,drink
107,place
107,place
108,car
108,place
109,other
109,place
110,experience
110,service
111,large
111,situation
112,order
112,food
113,staff
113,service
114,service
114,other
115,other
115,lot
116,food
116,fry
117,service
117,staff
118,drink
118,other
119,drink
119,drink
120,situation
120,wait
121,emotion
121,bad
122,food
122,nugget
123,food
123,other
124,food
124,meal
125,situation
125,minute
126,food
126,fry
127,other
127,other
128,food
128,cream
129,drink
129,cream
130,drink
130,ice
131,lady
131,service
132,other
132,other
133,mcdonalds
133,place
134,staff
134,service
135,other
135,service
136,other
136,place
137,manager
137,service
138,emotion
138,great
139,other
139,next
140,new
140,other
141,other
141,food
142,place
142,other
143,best
143,emotion
144,service
144,service
145,situation
145,people
146,other
146,other
147,service
147,employee
148,emotion
148,horrible
149,time
149,service
150,other
150,food
151,place
151,other
152,situation
152,minute
153,other
153,emotion
154,situation
154,wait
155,food
155,order
156,location
156,service
157,location
157,place
158,situation
158,people
159,other
159,food
160,minute
160,situation
161,food
161,food
162,other
162,lot
163,other
163,other
164,pickle
164,food
165,price
165,service
166,extra
166,other
167,wait
167,situation
168,window
168,place
169,other
169,other
170,minute
170,situation
171,employee
171,service
172,service
172,service
173,place
173,other
174,place
174,store
175,emotion
175,horrible
176,other
176,other
177,service
177,location
178,place
178,location
179,service
179,time
180,situation
180,line
181,long
181,situation
182,other
182,place
183,3rd
183,other
184,job
184,other
185,staff
185,service
186,other
186,other
187,service
187,service
188,food
188,food
189,service
189,other
190,food
190,other
191,situation
191,large
192,place
192,window
193,sandwich
193,food
194,other
194,food
195,chicken
195,food
196,food
196,fry
197,situation
197,normal
198,food
198,other
199,other
199,place
200,situation
200,minute
201,order
201,food
202,mcdonald
202,place
203,order
203,food
204,bad
204,emotion
205,other
205,situation
206,place
206,drive
207,emotion
207,good
208,order
208,food
209,other
209,service
210,situation
210,other
211,food
211,food
212,taste
212,other
213,food
213,food
214,other
214,other
215,service
215,employee
216,drink
216,drink
217,management
217,service
218,situation
218,other
219,customer
219,service
220,service
220,time
221,other
221,other
222,mess
222,situation
223,wait
223,situation
224,wrong
224,situation
225,service
225,attitude
226,situation
226,day
227,other
227,other
228,great
228,emotion
229,manager
229,service
230,happy
230,emotion
231,service
231,service
232,attitude
232,service
233,place
233,window
234,situation
234,long
235,service
235,other
236,service
236,work
237,meal
237,food
238,emotion
238,horrible
239,other
239,phone
240,food
240,fry
241,other
241,extra
242,order
242,food
243,line
243,situation
244,location
244,service
245,place
245,location
246,hour
246,situation
247,place
247,other
248,situation
248,night
249,place
249,mcdonalds
250,food
250,other
251,cream
251,food
252,cream
252,drink
253,drink
253,ice
254,attitude
254,service
255,food
255,item
256,item
256,drink
257,rude
257,emotion
258,service
258,service
259,job
259,other
260,customer
260,service
261,other
261,food
262,other
262,situation
263,food
263,food
264,other
264,other
265,food
265,order
266,manager
266,service
267,food
267,food
268,other
268,food
269,other
269,place
270,place
270,place
271,food
271,order
272,service
272,service
273,line
273,situation
274,situation
274,long
275,other
275,other
276,drive
276,place
277,emotion
277,great
278,other
278,other
279,emotion
279,bad
280,emotion
280,good
281,service
281,service
282,situation
282,line
283,service
283,customer
284,other
284,other
285,food
285,food
286,hour
286,situation
