node_id,reviewer_id,first_cycle,second_cycle,residu,category,first_sentiment_score,second_sentiment_score,overall_sentiment_score,first_rating,second_rating,overall_rating
38,9,restaurant,place,"{'hard', 'sauce', 'piece'}",place and service,0.3333333333333333,0.3958333333333333,0.3671497584541063,2.0,1.8958333333333333,1.893719806763285
39,9,nugget,food,"{'hard', 'sauce', 'piece'}",food and drink,0.0,0.3516483516483517,0.3739130434782609,1.6666666666666667,2.0549450549450547,2.0
40,9,other,other,"{'hard', 'sauce', 'piece'}",other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
41,9,order,food,"{'hard', 'sauce', 'piece'}",food and drink,0.23333333333333334,0.3516483516483517,0.3739130434782609,1.9,2.0549450549450547,2.0
42,9,time,service,"{'hard', 'sauce', 'piece'}",place and service,0.3,0.35353535353535354,0.3671497584541063,1.4,2.0707070707070705,1.893719806763285
43,10,people,situation,"{'quality', 'mcds'}",place and service,0.4,0.36666666666666664,0.3671497584541063,3.0,1.6,1.893719806763285
44,10,service,service,"{'quality', 'mcds'}",place and service,0.4375,0.35353535353535354,0.3671497584541063,2.625,2.0707070707070705,1.893719806763285
45,10,best,emotion,"{'quality', 'mcds'}",sentiment,1.0,0.6538461538461539,0.6538461538461539,4.0,2.6153846153846154,2.6153846153846154
46,10,other,other,"{'quality', 'mcds'}",other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
47,11,mcdonald,place,"{'globe', 'effort', 'golden', 'series'}",place and service,0.3333333333333333,0.3958333333333333,0.3671497584541063,1.3333333333333333,1.8958333333333333,1.893719806763285
48,11,mcdonalds,place,"{'globe', 'effort', 'golden', 'series'}",place and service,0.5,0.3958333333333333,0.3671497584541063,1.75,1.8958333333333333,1.893719806763285
49,11,other,other,"{'globe', 'effort', 'golden', 'series'}",other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
50,12,lady,service,"{'husband', 'task'}",place and service,0.16666666666666666,0.35353535353535354,0.3671497584541063,1.3333333333333333,2.0707070707070705,1.893719806763285
51,12,food,food,"{'husband', 'task'}",food and drink,0.5,0.3516483516483517,0.3739130434782609,2.7,2.0549450549450547,2.0
52,12,item,food,"{'husband', 'task'}",food and drink,0.4,0.3516483516483517,0.3739130434782609,1.4,2.0549450549450547,2.0
53,12,item,drink,"{'husband', 'task'}",food and drink,0.4,0.4583333333333333,0.3739130434782609,1.4,1.7916666666666667,2.0
54,12,other,other,"{'husband', 'task'}",other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
55,12,order,food,"{'husband', 'task'}",food and drink,0.23333333333333334,0.3516483516483517,0.3739130434782609,1.9,2.0549450549450547,2.0
56,13,car,place,"{'morning', 'different'}",place and service,0.0,0.3958333333333333,0.3671497584541063,1.0,1.8958333333333333,1.893719806763285
57,13,crew,service,"{'morning', 'different'}",place and service,1.0,0.35353535353535354,0.3671497584541063,2.5,2.0707070707070705,1.893719806763285
58,13,long,situation,"{'morning', 'different'}",place and service,0.2,0.36666666666666664,0.3671497584541063,1.6,1.6,1.893719806763285
59,13,hour,situation,"{'morning', 'different'}",place and service,0.2,0.36666666666666664,0.3671497584541063,2.0,1.6,1.893719806763285
60,13,night,situation,"{'morning', 'different'}",place and service,0.5,0.36666666666666664,0.3671497584541063,1.0,1.6,1.893719806763285
61,13,staff,service,"{'morning', 'different'}",place and service,0.46153846153846156,0.35353535353535354,0.3671497584541063,2.6153846153846154,2.0707070707070705,1.893719806763285
62,13,other,other,"{'morning', 'different'}",other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
63,13,wait,situation,"{'morning', 'different'}",place and service,0.2,0.36666666666666664,0.3671497584541063,1.0,1.6,1.893719806763285
64,13,line,situation,"{'morning', 'different'}",place and service,0.25,0.36666666666666664,0.3671497584541063,1.75,1.6,1.893719806763285
65,13,experience,service,"{'morning', 'different'}",place and service,0.3333333333333333,0.35353535353535354,0.3671497584541063,1.0,2.0707070707070705,1.893719806763285
66,14,regular,situation,"{'thing', 'breakfast', 'condiment', '#', 'cake', 'big', 'full', 'hot'}",place and service,0.5,0.36666666666666664,0.3671497584541063,2.0,1.6,1.893719806763285
67,14,regular,service,"{'thing', 'breakfast', 'condiment', '#', 'cake', 'big', 'full', 'hot'}",place and service,0.5,0.35353535353535354,0.3671497584541063,2.0,2.0707070707070705,1.893719806763285
68,14,order,food,"{'thing', 'breakfast', 'condiment', '#', 'cake', 'big', 'full', 'hot'}",food and drink,0.23333333333333334,0.3516483516483517,0.3739130434782609,1.9,2.0549450549450547,2.0
69,14,restaurant,place,"{'thing', 'breakfast', 'condiment', '#', 'cake', 'big', 'full', 'hot'}",place and service,0.3333333333333333,0.3958333333333333,0.3671497584541063,2.0,1.8958333333333333,1.893719806763285
70,14,other,other,"{'thing', 'breakfast', 'condiment', '#', 'cake', 'big', 'full', 'hot'}",other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
71,15,lid,other,"{'part', 'poor', 'girl', 'hand'}",other,0.0,0.8359375,0.8359375,1.0,1.953125,1.953125
72,15,drink,drink,"{'part', 'poor', 'girl', 'hand'}",food and drink,0.16666666666666666,0.4583333333333333,0.3739130434782609,1.3333333333333333,1.7916666666666667,2.0
73,15,food,food,"{'part', 'poor', 'girl', 'hand'}",food and drink,0.5,0.3516483516483517,0.3739130434782609,2.7,2.0549450549450547,2.0
74,15,service,service,"{'part', 'poor', 'girl', 'hand'}",place and service,0.4375,0.35353535353535354,0.3671497584541063,2.625,2.0707070707070705,1.893719806763285
75,15,burger,food,"{'part', 'poor', 'girl', 'hand'}",food and drink,0.3333333333333333,0.3516483516483517,0.3739130434782609,1.0,2.0549450549450547,2.0
76,15,wrong,situation,"{'part', 'poor', 'girl', 'hand'}",place and service,0.0,0.36666666666666664,0.3671497584541063,1.0,1.6,1.893719806763285
77,15,other,other,"{'part', 'poor', 'girl', 'hand'}",other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
78,15,order,food,"{'part', 'poor', 'girl', 'hand'}",food and drink,0.23333333333333334,0.3516483516483517,0.3739130434782609,1.9,2.0549450549450547,2.0
79,15,cup,drink,"{'part', 'poor', 'girl', 'hand'}",food and drink,0.5,0.4583333333333333,0.3739130434782609,1.0,1.7916666666666667,2.0
80,16,minute,situation,{'table'},place and service,0.3333333333333333,0.36666666666666664,0.3671497584541063,1.3333333333333333,1.6,1.893719806763285
81,16,food,food,{'table'},food and drink,0.5,0.3516483516483517,0.3739130434782609,2.7,2.0549450549450547,2.0
82,16,sandwich,food,{'table'},food and drink,0.0,0.3516483516483517,0.3739130434782609,3.0,2.0549450549450547,2.0
83,16,restaurant,place,{'table'},place and service,0.3333333333333333,0.3958333333333333,0.3671497584541063,2.0,1.8958333333333333,1.893719806763285
84,16,chicken,food,{'table'},food and drink,0.0,0.3516483516483517,0.3739130434782609,2.6666666666666665,2.0549450549450547,2.0
85,16,other,other,{'table'},other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
86,17,cream,food,"{'cinnabun', 'substitute', 'strawberry', 'pie', 'apple'}",food and drink,0.5,0.3516483516483517,0.3739130434782609,2.75,2.0549450549450547,2.0
87,17,cream,drink,"{'cinnabun', 'substitute', 'strawberry', 'pie', 'apple'}",food and drink,0.5,0.4583333333333333,0.3739130434782609,2.75,1.7916666666666667,2.0
88,17,staff,service,"{'cinnabun', 'substitute', 'strawberry', 'pie', 'apple'}",place and service,0.46153846153846156,0.35353535353535354,0.3671497584541063,2.6153846153846154,2.0707070707070705,1.893719806763285
89,17,other,other,"{'cinnabun', 'substitute', 'strawberry', 'pie', 'apple'}",other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
90,18,bag,other,{'boy'},other,0.3333333333333333,0.8359375,0.8359375,1.3333333333333333,1.953125,1.953125
91,18,drink,drink,{'boy'},food and drink,0.16666666666666666,0.4583333333333333,0.3739130434782609,1.3333333333333333,1.7916666666666667,2.0
92,18,other,other,{'boy'},other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
93,19,other,other,"{'straight', 'hash', 'strawberry', 'smoothie', 'fact', 'water', 'banana', 'disappointed', 'smh', 'smoothy'}",other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
94,19,ice,drink,"{'straight', 'hash', 'strawberry', 'smoothie', 'fact', 'water', 'banana', 'disappointed', 'smh', 'smoothy'}",food and drink,0.5,0.4583333333333333,0.3739130434782609,2.0,1.7916666666666667,2.0
95,19,taste,other,"{'straight', 'hash', 'strawberry', 'smoothie', 'fact', 'water', 'banana', 'disappointed', 'smh', 'smoothy'}",other,0.3333333333333333,0.8359375,0.8359375,2.0,1.953125,1.953125
96,20,order,food,"{'learning', 'perpetual', 'lobby'}",food and drink,0.23333333333333334,0.3516483516483517,0.3739130434782609,1.9,2.0549450549450547,2.0
97,20,staff,service,"{'learning', 'perpetual', 'lobby'}",place and service,0.46153846153846156,0.35353535353535354,0.3671497584541063,2.6153846153846154,2.0707070707070705,1.893719806763285
98,20,other,other,"{'learning', 'perpetual', 'lobby'}",other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
99,21,car,place,"{'rush', 'taker', 'take', 'name', 'more', 'other'}",place and service,0.0,0.3958333333333333,0.3671497584541063,1.0,1.8958333333333333,1.893719806763285
100,21,place,place,"{'rush', 'taker', 'take', 'name', 'more', 'other'}",place and service,0.625,0.3958333333333333,0.3671497584541063,2.75,1.8958333333333333,1.893719806763285
101,21,item,food,"{'rush', 'taker', 'take', 'name', 'more', 'other'}",food and drink,0.4,0.3516483516483517,0.3739130434782609,1.4,2.0549450549450547,2.0
102,21,item,drink,"{'rush', 'taker', 'take', 'name', 'more', 'other'}",food and drink,0.4,0.4583333333333333,0.3739130434782609,1.4,1.7916666666666667,2.0
103,21,other,other,"{'rush', 'taker', 'take', 'name', 'more', 'other'}",other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
104,21,order,food,"{'rush', 'taker', 'take', 'name', 'more', 'other'}",food and drink,0.23333333333333334,0.3516483516483517,0.3739130434782609,1.9,2.0549450549450547,2.0
105,21,experience,service,"{'rush', 'taker', 'take', 'name', 'more', 'other'}",place and service,0.3333333333333333,0.35353535353535354,0.3671497584541063,1.0,2.0707070707070705,1.893719806763285
106,22,fry,food,"{'morning', 'past', 'year', 'evening'}",food and drink,0.45454545454545453,0.3516483516483517,0.3739130434782609,1.8181818181818181,2.0549450549450547,2.0
107,22,staff,service,"{'morning', 'past', 'year', 'evening'}",place and service,0.46153846153846156,0.35353535353535354,0.3671497584541063,2.6153846153846154,2.0707070707070705,1.893719806763285
108,22,large,situation,"{'morning', 'past', 'year', 'evening'}",place and service,0.8,0.36666666666666664,0.3671497584541063,1.0,1.6,1.893719806763285
109,22,other,other,"{'morning', 'past', 'year', 'evening'}",other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
110,22,order,food,"{'morning', 'past', 'year', 'evening'}",food and drink,0.23333333333333334,0.3516483516483517,0.3739130434782609,1.9,2.0549450549450547,2.0
111,22,lot,other,"{'morning', 'past', 'year', 'evening'}",other,0.3333333333333333,0.8359375,0.8359375,2.6666666666666665,1.953125,1.953125
112,23,staff,service,{'caffeine'},place and service,0.46153846153846156,0.35353535353535354,0.3671497584541063,2.6153846153846154,2.0707070707070705,1.893719806763285
113,23,drink,drink,{'caffeine'},food and drink,0.16666666666666666,0.4583333333333333,0.3739130434782609,1.3333333333333333,1.7916666666666667,2.0
114,23,other,other,{'caffeine'},other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
115,24,bad,emotion,"{'microwave', 'cold'}",sentiment,0.0,0.6538461538461539,0.6538461538461539,1.6666666666666667,2.6153846153846154,2.6153846153846154
116,24,minute,situation,"{'microwave', 'cold'}",place and service,0.3333333333333333,0.36666666666666664,0.3671497584541063,1.3333333333333333,1.6,1.893719806763285
117,24,fry,food,"{'microwave', 'cold'}",food and drink,0.45454545454545453,0.3516483516483517,0.3739130434782609,1.8181818181818181,2.0549450549450547,2.0
118,24,nugget,food,"{'microwave', 'cold'}",food and drink,0.0,0.3516483516483517,0.3739130434782609,1.6666666666666667,2.0549450549450547,2.0
